Weight Conversion Scale Check
=============================
Input file: RISC_V/c_program/best_weights_hw.txt
int_scale (C): 256

Columns:
w_int, q16_correct(v=int/int_scale*65536), q16_if_direct_intx65536, ratio

-9, -2304, -589824, 256.00
-3, -768, -196608, 256.00
4, 1024, 262144, 256.00
-1, -256, -65536, 256.00
-5, -1280, -327680, 256.00
-5, -1280, -327680, 256.00
3, 768, 196608, 256.00
7, 1792, 458752, 256.00
-4, -1024, -262144, 256.00
-9, -2304, -589824, 256.00
-2, -512, -131072, 256.00
5, 1280, 327680, 256.00
-3, -768, -196608, 256.00
-7, -1792, -458752, 256.00
-7, -1792, -458752, 256.00
5, 1280, 327680, 256.00
-8, -2048, -524288, 256.00
1, 256, 65536, 256.00
1, 256, 65536, 256.00
4, 1024, 262144, 256.00

Average non-zero ratio: 256.00x
Expected if int_scale=256 and direct-int conversion is used: ~256x over-scale.
